code_pathologie;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;annee
Pathologie, traitement ou événement de santé;Effectif;Total des dépenses;Total soins de ville;Soins de médecins ;Soins infirmiers;Soins de kinésithérapie;Autres professionnels de santé;Médicaments;Autres produits de santé;Biologie;Transports;Autres dépenses de soins de ville;Total hospitalisations;dont hospitalisations MCO;Total prestations en espèces;dont indemnités journalières maladie et AT/MP;2015
Syndrome coronaire aigu;99400;961446000;112534000;26684000;3778000;1555000;1714000;44820000;3889000;3893000;25885000;315000;796401000;688667000;52511000;41631000;2015
Maladie coronaire chronique;1844700;3214608000;1830067000;361078000;195397000;53329000;42111000;898988000;135455000;74752000;57754000;11202000;935114000;735316000;449427000;82498000;2015
Accident vasculaire cérébral aigu;116600;1423032000;131456000;14018000;23451000;12739000;8539000;17990000;11503000;2592000;40312000;312000;1254813000;800248000;36763000;30309000;2015
Séquelle d'accident vasculaire cérébral;731600;2069158000;1237343000;95925000;344078000;173186000;64776000;214366000;131935000;24625000;185122000;3330000;517828000;167670000;313986000;50230000;2015
Insuffisance cardiaque aiguë;182600;1251064000;336195000;21796000;151616000;11239000;424000;43743000;55801000;12502000;38831000;242000;904850000;782998000;10020000;2637000;2015
Insuffisance cardiaque chronique;621600;1261172000;1071307000;83894000;446742000;53823000;5163000;246596000;145432000;46257000;41366000;2034000;113723000;33514000;76142000;8440000;2015
Artériopathie périphérique;705200;2063073000;857754000;134303000;194386000;30485000;11170000;287961000;113794000;26353000;55868000;3435000;1011480000;842641000;193840000;39947000;2015
Troubles du rythme ou de la conduction cardiaque;1673900;2620781000;923320000;198018000;155802000;43919000;24112000;282820000;88849000;70154000;54161000;5485000;1570009000;1428164000;127451000;38628000;2015
Maladie valvulaire;420300;1108261000;199981000;53173000;27340000;9977000;5595000;42012000;15855000;27602000;17339000;1089000;859254000;750812000;49026000;13617000;2015
Embolie pulmonaire;39800;216970000;38711000;7853000;4275000;902000;441000;13686000;4749000;2999000;3730000;77000;166409000;147529000;11849000;9809000;2015
Autres affections cardiovasculaires;343900;456701000;243376000;36798000;34008000;7710000;7899000;86528000;37376000;8637000;23888000;532000;162684000;116904000;50642000;14089000;2015
Traitements antihypertenseurs (hors pathologies);7312200;4339559000;3273104000;830541000;286699000;164347000;196121000;1301992000;288849000;130737000;27151000;46666000;154743000;19548000;911712000;314135000;2015
Traitements hypolipémiants (hors pathologies);3711100;1806591000;1329839000;354416000;26780000;60069000;97888000;611784000;85820000;60614000;6973000;25496000;54931000;1721000;421821000;103912000;2015
Diabète;3591900;7823925000;6350066000;607044000;1404381000;110506000;97842000;2487010000;1302727000;225887000;92683000;21985000;713592000;449627000;760267000;166315000;2015
Cancer du sein de la femme actif;216700;2354222000;795312000;233903000;29473000;26299000;5345000;271746000;22575000;24013000;180200000;1758000;1376042000;1227358000;182868000;149153000;2015
Cancer du sein de la femme sous surveillance;468700;478893000;306583000;85267000;14882000;35996000;14278000;101823000;16095000;17532000;16120000;4590000;51096000;14609000;121214000;15671000;2015
Cancer colorectal actif;140000;1429349000;296185000;53871000;49065000;2551000;1934000;68415000;50827000;16855000;52289000;378000;1083809000;943566000;49354000;31439000;2015
Cancer colorectal sous surveillance;198900;193150000;121914000;25198000;20262000;4563000;4133000;19043000;34991000;7445000;5372000;907000;33858000;14248000;37378000;3610000;2015
Cancer bronchopulmonaire actif;85800;1400864000;441323000;61919000;24073000;3652000;880000;252195000;20945000;8847000;68528000;285000;884084000;740314000;75457000;41049000;2015
Cancer bronchopulmonaire sous surveillance;43900;90294000;29082000;6858000;2393000;1741000;854000;7652000;4544000;1198000;3651000;191000;10663000;1673000;50549000;2348000;2015
Cancer de la prostate actif;211500;1254559000;766910000;186160000;27917000;8973000;4026000;417506000;18904000;18691000;83811000;922000;446876000;373215000;40773000;15916000;2015
Cancer de la prostate sous surveillance;294700;188323000;125809000;29165000;8636000;5032000;6633000;44308000;15086000;9170000;5803000;1976000;20254000;2564000;42260000;1649000;2015
Autres cancers actifs;818700;7696572000;2469487000;224927000;134724000;26066000;17723000;1548714000;156637000;78551000;279718000;2428000;4934101000;4236483000;292983000;164578000;2015
Autres cancers sous surveillance;874200;790500000;469919000;101836000;43230000;26705000;23349000;113860000;89133000;31488000;36529000;3789000;124252000;30364000;196329000;32400000;2015
Troubles psychotiques;447800;4357971000;733730000;62417000;172663000;10780000;13223000;364508000;16082000;8425000;85173000;460000;3344416000;22120000;279824000;31695000;2015
Troubles névrotiques et de l'humeur;1268100;5297164000;1218064000;281363000;156512000;71658000;41324000;431093000;64796000;31920000;131817000;7579000;2607877000;171772000;1471223000;566202000;2015
Déficience mentale;140600;567405000;170104000;13754000;28949000;12236000;13650000;30934000;35393000;1689000;33414000;84000;390045000;2195000;7256000;1502000;2015
Troubles addictifs;409400;1381349000;173440000;30858000;22333000;4976000;8478000;63237000;13342000;4232000;25811000;173000;995231000;210363000;212678000;106674000;2015
Troubles psychiatriques débutant dans l'enfance;160600;1208669000;209005000;12842000;1688000;2210000;44931000;17799000;6130000;899000;122468000;38000;998203000;22252000;1462000;769000;2015
Autres troubles psychiatriques;469600;1745976000;380590000;73188000;49160000;15399000;16760000;125864000;24171000;9005000;65684000;1359000;1101857000;119533000;263529000;67891000;2015
Traitements antidépresseurs ou thymorégulateurs (hors pathologies);2918200;2539667000;1180323000;410064000;40891000;105156000;78556000;393176000;80019000;47200000;14108000;11153000;171309000;0;1188035000;741505000;2015
Traitements neuroleptiques (hors pathologies);328400;287636000;182136000;26791000;33520000;6525000;6897000;84385000;8772000;3029000;11790000;427000;20706000;0;84794000;13283000;2015
Traitements anxiolytiques (hors pathologies);3267400;2414860000;1362240000;422900000;91712000;112397000;75681000;454433000;105758000;61970000;26197000;11192000;106366000;0;946255000;553255000;2015
Traitements hypnotiques (hors pathologies);1659500;1205944000;728596000;211831000;62783000;64268000;36267000;235171000;66462000;29524000;13983000;8307000;46653000;0;430695000;186438000;2015
Démences (dont maladie d'Alzheimer);738900;2326766000;1593773000;55746000;911441000;194981000;57381000;98909000;164003000;10662000;99693000;956000;698237000;174363000;34756000;757000;2015
Maladie de Parkinson;258800;931287000;719708000;35146000;179323000;128845000;20086000;212133000;87909000;5237000;48439000;2591000;160216000;58383000;51362000;6245000;2015
Sclérose en plaques;103000;1198750000;792448000;21557000;39752000;46543000;6656000;567099000;57588000;5897000;46659000;696000;221565000;134345000;184737000;21142000;2015
Lésion médullaire;88700;668736000;348399000;11207000;68093000;40456000;2682000;17176000;160924000;2143000;45232000;487000;144853000;35755000;175484000;25009000;2015
Myopathie ou myasthénie;45400;240377000;122133000;5221000;11909000;19786000;2089000;29708000;34309000;1239000;17659000;214000;80189000;52568000;38056000;4204000;2015
Épilepsie;459500;704875000;361171000;38098000;26637000;15266000;20825000;183852000;28913000;6385000;40797000;396000;234729000;175736000;108975000;26464000;2015
Autres affections neurologiques;153700;730249000;438227000;15091000;56568000;73140000;12760000;49146000;152998000;2473000;75325000;726000;208769000;98067000;83253000;11446000;2015
Maladies respiratoires chroniques (hors mucoviscidose);3502200;3567326000;2067584000;448692000;34149000;81608000;105884000;1067801000;234529000;49816000;35361000;9745000;1129763000;783735000;369979000;154335000;2015
Maladies inflammatoires chroniques intestinales;241900;797493000;378136000;32309000;5030000;3786000;7630000;290029000;15480000;14455000;8745000;672000;354583000;334784000;64774000;27198000;2015
Polyarthrite rhumatoïde ou maladies apparentées;265200;885636000;582212000;46900000;31235000;21501000;7637000;404204000;18086000;24102000;24742000;3805000;186272000;158025000;117152000;27716000;2015
Spondylarthrite ankylosante ou maladies apparentées;186300;784555000;489743000;31842000;4638000;23640000;5813000;394355000;6731000;10204000;9666000;2852000;154406000;128075000;140407000;46205000;2015
Autres maladies inflammatoires chroniques;191400;388227000;177969000;27734000;11106000;11391000;5501000;77686000;12062000;16132000;14727000;1628000;152096000;119449000;58162000;15023000;2015
Maladies métaboliques héréditaires ou amylose;108200;429575000;245549000;11363000;4767000;3824000;4318000;189784000;15977000;5071000;10008000;436000;167456000;154083000;16570000;5656000;2015
Mucoviscidose;8300;169831000;136679000;647000;6581000;15175000;255000;91913000;16343000;251000;5503000;11000;31502000;25540000;1650000;349000;2015
Hémophilie ou troubles de l'hémostase graves;46700;555394000;467379000;4815000;5910000;1144000;1304000;443587000;4277000;3284000;2864000;194000;79316000;72451000;8699000;4419000;2015
infection par le VIH;139600;1504384000;1335298000;10389000;2126000;1672000;3985000;1293530000;5994000;14270000;3203000;128000;121997000;67388000;47088000;10268000;2015
Dialyse chronique;48400;3075330000;838942000;10648000;55988000;3392000;349000;102702000;16893000;17418000;631518000;34000;2215162000;2188213000;21225000;3846000;2015
Transplantation rénale;3300;224476000;57434000;486000;1172000;45000;56000;31034000;1168000;1893000;21573000;8000;161070000;154951000;5972000;3041000;2015
Suivi de transplantation rénale;34500;449778000;238009000;5323000;3162000;791000;740000;183910000;4770000;8972000;30252000;89000;172595000;152888000;39174000;3009000;2015
Maladies du foie ou du pancréas (hors mucoviscidose);562500;2058779000;1339906000;54395000;13935000;8840000;12732000;1169805000;21113000;36166000;21814000;1107000;547229000;459785000;171645000;55813000;2015
Affections de longue durée (dont 31 et 32) pour d'autres causes;1635300;2999918000;2414424000;187706000;294111000;175284000;71276000;980477000;394037000;49117000;249731000;12683000;238925000;123997000;346569000;83390000;2015
Hospitalisation pour Covid-19;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;2015
Maternité (avec ou sans pathologies);1338100;8392491000;1146806000;318937000;21020000;30648000;296473000;119672000;98447000;251610000;9001000;998000;3741684000;3424341000;3504002000;504139000;2015
Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);9438300;35413090000;5011936000;1567482000;436508000;374055000;274540000;1031483000;504665000;299503000;500854000;22845000;27079798000;21989440000;3321356000;2914960000;2015
Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);1276900;1339399000;724081000;311866000;11624000;56684000;72951000;193749000;38052000;27410000;5687000;6058000;80454000;10652000;534864000;390215000;2015
Pas de pathologie, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;34890200;10200428000;6443984000;2414636000;62177000;320049000;1711796000;1114766000;365820000;343565000;65012000;46161000;873966000;123831000;2882478000;1674910000;2015
Consommation courante de soins;;5176602000;4766689000;2115874000;56130000;573866000;714665000;440476000;273971000;585051000;;6656000;;;409914000;409914000;2015
Total;64277360;1,52713E+11;63334422000;13164765000;6668690000;3507383000;4399099000;22405145000;6007756000;2921619000;3957593000;302372000;67200361000;46298828000;22178675000;10072899000;2015
Pathologie, traitement ou événement de santé;Effectif;Total des dépenses;Total soins de ville;Soins de médecins ;Soins infirmiers;Soins de kinésithérapie;Autres professionnels de santé;Médicaments;Autres produits de santé;Biologie;Transports;Autres dépenses de soins de ville;Total hospitalisations;dont hospitalisations MCO;Total prestations en espèces;dont indemnités journalières maladie et AT/MP;2016
Syndrome coronaire aigu;95400;946667000;108065000;25712000;3670000;1380000;1697000;43279000;4731000;3613000;23744000;239000;785438000;678676000;53164000;43361000;2016
Maladie coronaire chronique;1881200;3313545000;1829720000;372484000;200358000;55663000;42993000;863802000;147610000;76382000;59479000;10949000;1024198000;812604000;459627000;87108000;2016
Accident vasculaire cérébral aigu;120000;1476830000;133557000;14755000;22055000;12932000;8663000;17883000;11280000;2636000;43073000;279000;1304617000;841877000;38655000;31294000;2016
Séquelle d'accident vasculaire cérébral;759800;2124431000;1267980000;101781000;354153000;174996000;66440000;213223000;136688000;25285000;191975000;3440000;535269000;175133000;321182000;54519000;2016
Insuffisance cardiaque aiguë;185000;1241285000;313215000;22439000;136545000;11375000;494000;45899000;46894000;12085000;37402000;81000;916869000;795528000;11201000;3731000;2016
Insuffisance cardiaque chronique;636800;1321434000;1129914000;84996000;476405000;56128000;5313000;252497000;157970000;46555000;48149000;1903000;115876000;33933000;75645000;8094000;2016
Artériopathie périphérique;715300;2090780000;867095000;137138000;203388000;31770000;11190000;272992000;121396000;26522000;59436000;3264000;1029066000;853422000;194619000;40171000;2016
Troubles du rythme ou de la conduction cardiaque;1737700;2775810000;1039083000;211210000;184642000;48614000;24704000;329903000;104192000;69841000;60199000;5779000;1600095000;1457957000;136631000;42321000;2016
Maladie valvulaire;437100;1172555000;221248000;57170000;34017000;10118000;6045000;45208000;18470000;28286000;20838000;1096000;900106000;792514000;51200000;13938000;2016
Embolie pulmonaire;42200;229277000;40829000;8638000;3394000;993000;453000;15574000;5139000;2734000;3815000;89000;176698000;156894000;11750000;10283000;2016
Autres affections cardiovasculaires;355200;479619000;264424000;39840000;37728000;8605000;8283000;95136000;39832000;9135000;25310000;555000;161493000;113812000;53702000;15143000;2016
Traitements antihypertenseurs (hors pathologies);7327600;4366718000;3256116000;849849000;286795000;174743000;196704000;1231136000;309851000;132165000;29097000;45778000;165269000;19387000;945334000;333315000;2016
Traitements hypolipémiants (hors pathologies);3483400;1702764000;1238751000;337717000;26986000;59389000;89185000;550065000;88215000;57173000;7533000;22488000;55180000;1706000;408832000;103101000;2016
Diabète;3666000;7929726000;6416662000;632297000;1440014000;119228000;101808000;2409520000;1360742000;232058000;100037000;20958000;735619000;462447000;777445000;174743000;2016
Cancer du sein de la femme actif;221100;2463128000;855343000;245843000;30951000;29120000;5461000;304200000;24841000;25172000;187971000;1784000;1413255000;1253627000;194530000;158436000;2016
Cancer du sein de la femme sous surveillance;458500;485180000;307104000;86197000;14781000;38566000;14082000;96483000;18189000;17708000;16438000;4660000;53453000;15788000;124623000;16990000;2016
Cancer colorectal actif;153000;1520325000;322379000;59495000;50207000;3034000;2207000;78254000;56750000;18018000;54041000;374000;1145701000;999594000;52245000;33997000;2016
Cancer colorectal sous surveillance;195400;197204000;126449000;25394000;22798000;5064000;3933000;19031000;35922000;7503000;5937000;868000;32889000;14004000;37867000;3938000;2016
Cancer bronchopulmonaire actif;89400;1504103000;510017000;67432000;24056000;4002000;911000;304987000;21288000;11290000;75817000;234000;909298000;755853000;84789000;46112000;2016
Cancer bronchopulmonaire sous surveillance;44700;93780000;32443000;7397000;2773000;1955000;798000;8516000;5278000;1262000;4243000;222000;11181000;1703000;50156000;2193000;2016
Cancer de la prostate actif;218600;1361587000;834605000;215710000;29113000;9801000;4247000;442270000;20288000;19737000;92508000;930000;483799000;405445000;43183000;17516000;2016
Cancer de la prostate sous surveillance;282800;185767000;125646000;29259000;8198000;5322000;6359000;43153000;16391000;9150000;5921000;1893000;20581000;2355000;39540000;1584000;2016
Autres cancers actifs;849200;8075710000;2712410000;238906000;143080000;27789000;18351000;1735782000;166182000;83905000;295856000;2559000;5054823000;4318708000;308478000;169465000;2016
Autres cancers sous surveillance;875200;818844000;492621000;105945000;45487000;28118000;23275000;121756000;93766000;32626000;37818000;3829000;128912000;32040000;197312000;34327000;2016
Troubles psychotiques;449800;4477570000;737331000;62765000;188893000;11388000;12859000;347295000;17698000;8950000;87043000;440000;3463506000;25451000;276733000;31473000;2016
Troubles névrotiques et de l'humeur;1309200;5539061000;1241878000;295724000;170788000;77772000;43240000;399322000;72017000;33981000;141455000;7578000;2712982000;178129000;1584201000;616577000;2016
Déficience mentale;139100;575605000;173775000;13873000;30491000;12526000;13945000;29929000;37484000;1725000;33714000;88000;394896000;2555000;6934000;1576000;2016
Troubles addictifs;425600;1424089000;183393000;33084000;24089000;5592000;8844000;64510000;15390000;4631000;27084000;170000;1011151000;211057000;229545000;117927000;2016
Troubles psychiatriques débutant dans l'enfance;168200;1248751000;221913000;13887000;1988000;2389000;48982000;18637000;6695000;990000;128306000;39000;1025165000;22338000;1673000;760000;2016
Autres troubles psychiatriques;461300;1729049000;380218000;72418000;54297000;15840000;16799000;116758000;25696000;9378000;67733000;1298000;1098759000;123833000;250072000;65015000;2016
Traitements antidépresseurs ou thymorégulateurs (hors pathologies);2925000;2583608000;1165052000;415505000;43696000;110588000;77569000;357324000;85526000;48285000;15284000;11275000;181746000;0;1236811000;778694000;2016
Traitements neuroleptiques (hors pathologies);326500;285646000;176428000;26458000;33623000;6465000;6945000;76620000;9460000;3164000;13276000;416000;21647000;0;87571000;13880000;2016
Traitements anxiolytiques (hors pathologies);3219700;2441115000;1353246000;424230000;93060000;116399000;74107000;437584000;108545000;62003000;27224000;10093000;111394000;0;976475000;584849000;2016
Traitements hypnotiques (hors pathologies);1616600;1197408000;717159000;210072000;62633000;65050000;35459000;225613000;67032000;29361000;14237000;7702000;48033000;0;432216000;193678000;2016
Démences (dont maladie d'Alzheimer);750900;2390764000;1656918000;56517000;955544000;199624000;61834000;90688000;173554000;10892000;107389000;877000;700410000;179992000;33436000;871000;2016
Maladie de Parkinson;261700;976820000;756691000;36069000;199222000;134423000;21807000;205844000;97017000;5406000;54240000;2664000;165918000;60397000;54211000;6565000;2016
Sclérose en plaques;105000;1237432000;818610000;23131000;38656000;47249000;6802000;586602000;60865000;5948000;48634000;724000;230045000;139956000;188777000;21457000;2016
Lésion médullaire;90900;676599000;359000000;11931000;69610000;40912000;2616000;17491000;168018000;2198000;45655000;568000;137782000;34094000;179817000;26992000;2016
Myopathie ou myasthénie;45800;251979000;132565000;5450000;11634000;20220000;2143000;38489000;35368000;1291000;17767000;206000;80013000;52922000;39401000;4803000;2016
Épilepsie;470300;730791000;376474000;40175000;27320000;16145000;22156000;189004000;33821000;6659000;40799000;394000;240496000;180876000;113821000;28395000;2016
