Unnamed: 0;libelle_pathologie;code_pathologie;effectif_H;pourcentage_H;effectif_F;pourcentage_F;effectif_00_14;pourcentage_00_14;effectif_15_34;pourcentage_15_34;effectif_35_54;pourcentage_35_54;effectif_55_64;pourcentage_55_64;effectif_65_74;pourcentage_65_74;effectif_75_pl;pourcentage_75_pl;effectif_tot;pourcentage_tot;annee;region
;Syndrome coronaire aigu;MCV_SCO_AIG;200.0;1.07;100.0;0.38;;0.01;;0.05;100.0;0.55;100.0;1.65;100.0;1.68;100.0;1.75;300.0;0.69;2015;01 - Guadeloupe
;Maladie coronaire chronique;MCV_SCO_CHR;2400.0;14.64;1800.0;8.61;;0.05;;0.32;500.0;5.01;900.0;17.45;1200.0;34.44;1600.0;53.57;4200.0;11.29;2015;01 - Guadeloupe
;Accident vasculaire cérébral aigu;MCV_AVC_AIG;400.0;2.28;300.0;1.61;;0.03;;0.21;100.0;1.02;100.0;2.42;200.0;4.44;300.0;10.48;700.0;1.91;2015;01 - Guadeloupe
;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;2700.0;16.1;2400.0;11.24;100.0;0.81;100.0;1.82;700.0;6.92;900.0;17.99;1200.0;34.04;2000.0;67.04;5000.0;13.4;2015;01 - Guadeloupe
;Insuffisance cardiaque aiguë;MCV_ICA_AIG;400.0;2.25;400.0;1.67;;0.04;;0.1;100.0;0.67;100.0;1.79;200.0;4.55;400.0;13.27;700.0;1.93;2015;01 - Guadeloupe
;Insuffisance cardiaque chronique;MCV_ICA_CHR;1100.0;6.89;1200.0;5.8;;0.43;;0.4;300.0;2.4;300.0;6.75;500.0;13.18;1200.0;41.71;2400.0;6.28;2015;01 - Guadeloupe
;Artériopathie périphérique;MCV_APE_IND;1500.0;9.22;1700.0;8.14;;0.01;;0.17;200.0;1.92;400.0;8.34;700.0;20.29;1900.0;63.57;3200.0;8.62;2015;01 - Guadeloupe
;Troubles du rythme ou de la conduction cardiaque;MCV_TRC_IND;2300.0;13.9;2200.0;10.35;;0.42;100.0;1.06;400.0;4.13;600.0;12.63;1000.0;28.94;2300.0;76.58;4500.0;11.93;2015;01 - Guadeloupe
;Maladie valvulaire;MCV_MVA_IND;500.0;2.87;600.0;3.05;;0.16;;0.31;200.0;2.3;200.0;4.65;200.0;6.77;400.0;12.2;1100.0;2.97;2015;01 - Guadeloupe
;Embolie pulmonaire;MCV_EPU_IND;100.0;0.62;200.0;0.76;;0.03;;0.19;;0.44;;0.91;100.0;1.88;100.0;2.9;300.0;0.7;2015;01 - Guadeloupe
;Autres affections cardiovasculaires;MCV_AUT_IND;1000.0;5.79;900.0;4.23;200.0;2.03;100.0;1.46;400.0;3.42;300.0;6.23;400.0;11.18;500.0;17.25;1900.0;4.92;2015;01 - Guadeloupe
;Traitements antihypertenseurs (hors pathologies);TFC_HTA_EXC;16400.0;98.55;29300.0;139.97;;0.28;700.0;8.21;12100.0;113.26;12500.0;248.11;11000.0;312.66;9500.0;318.67;45700.0;121.59;2015;01 - Guadeloupe
;Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;4100.0;24.41;7400.0;35.28;;0.04;100.0;0.71;1900.0;18.13;3200.0;64.48;3500.0;99.44;2700.0;91.4;11400.0;30.46;2015;01 - Guadeloupe
;Diabète;DIA_CAT_CAT;15400.0;92.3;22200.0;106.0;100.0;0.83;600.0;7.05;6600.0;62.12;9800.0;195.54;10600.0;300.85;9900.0;333.05;37600.0;99.92;2015;01 - Guadeloupe
;Cancer du sein de la femme actif;CAN_SEI_ACT;;0.0;1000.0;4.9;;0.04;;0.22;400.0;3.59;200.0;4.84;200.0;7.06;100.0;4.31;1000.0;2.72;2015;01 - Guadeloupe
;Cancer du sein de la femme sous surveillance;CAN_SEI_SUR;;0.0;1500.0;7.32;;0.0;;0.1;400.0;3.39;500.0;9.21;400.0;10.96;300.0;10.51;1500.0;4.07;2015;01 - Guadeloupe
;Cancer colorectal actif;CAN_CRE_ACT;300.0;1.68;300.0;1.52;;0.01;;0.11;100.0;1.05;100.0;2.82;200.0;4.53;200.0;5.86;600.0;1.59;2015;01 - Guadeloupe
;Cancer colorectal sous surveillance;CAN_CRE_SUR;300.0;1.83;400.0;1.84;;0.0;;0.04;100.0;0.83;100.0;2.62;200.0;5.92;300.0;8.69;700.0;1.84;2015;01 - Guadeloupe
;Cancer bronchopulmonaire actif;CAN_BPU_ACT;100.0;0.62;100.0;0.4;;0.0;;0.01;;0.37;;0.97;100.0;1.42;;1.62;200.0;0.5;2015;01 - Guadeloupe
;Cancer bronchopulmonaire sous surveillance;CAN_BPU_SUR;;0.23;;0.23;;0.03;;0.05;;0.12;;0.48;;0.74;;0.64;100.0;0.23;2015;01 - Guadeloupe
;Cancer de la prostate actif;CAN_PRO_ACT;2500.0;14.99;;0.0;;0.0;;0.0;100.0;0.78;400.0;7.68;800.0;22.28;1200.0;42.04;2500.0;6.65;2015;01 - Guadeloupe
;Cancer de la prostate sous surveillance;CAN_PRO_SUR;2700.0;16.17;;0.0;;0.0;;0.02;100.0;0.49;400.0;8.2;1000.0;29.66;1200.0;40.06;2700.0;7.18;2015;01 - Guadeloupe
;Autres cancers actifs;CAN_AUT_ACT;1400.0;8.29;1500.0;7.25;;0.49;100.0;1.31;500.0;4.88;600.0;12.31;800.0;21.94;800.0;28.5;2900.0;7.71;2015;01 - Guadeloupe
;Autres cancers sous surveillance;CAN_AUT_SUR;1100.0;6.86;1700.0;8.36;;0.42;200.0;1.88;600.0;5.34;600.0;11.48;700.0;19.35;900.0;29.75;2900.0;7.7;2015;01 - Guadeloupe
;Troubles psychotiques;PSY_PSC_IND;2800.0;16.54;2300.0;10.98;;0.37;900.0;10.97;2100.0;19.92;900.0;18.54;600.0;17.56;500.0;15.87;5100.0;13.45;2015;01 - Guadeloupe
;Troubles névrotiques et de l’humeur;PSY_TNH_CAT;1400.0;8.58;4200.0;20.33;;0.52;500.0;5.7;1900.0;17.37;1300.0;26.62;900.0;26.01;1100.0;36.25;5700.0;15.11;2015;01 - Guadeloupe
;Déficience mentale;PSY_DME_IND;800.0;4.53;500.0;2.55;300.0;4.69;400.0;5.34;300.0;3.12;100.0;2.4;;1.14;;0.71;1300.0;3.43;2015;01 - Guadeloupe
;Troubles addictifs;PSY_ADD_CAT;1400.0;8.38;300.0;1.45;;0.07;300.0;3.24;600.0;5.83;400.0;7.39;300.0;7.12;200.0;6.5;1700.0;4.53;2015;01 - Guadeloupe
;Troubles psychiatriques débutant dans l'enfance;PSY_ENF_IND;600.0;3.52;300.0;1.29;500.0;7.24;200.0;2.7;100.0;0.52;;0.56;;0.23;;0.51;900.0;2.28;2015;01 - Guadeloupe
;Autres troubles psychiatriques;PSY_AUT_IND;600.0;3.38;600.0;3.07;100.0;0.8;200.0;2.88;300.0;3.1;200.0;3.22;200.0;4.41;300.0;9.0;1200.0;3.21;2015;01 - Guadeloupe
;Traitements antidépresseurs ou thymorégulateurs (hors pathologies);TPS_ADR_EXC;1700.0;10.35;3900.0;18.52;;0.07;300.0;3.52;1800.0;16.62;1200.0;24.8;1000.0;28.06;1300.0;43.86;5600.0;14.89;2015;01 - Guadeloupe
;Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;700.0;4.37;900.0;4.48;;0.5;200.0;2.57;400.0;3.92;200.0;4.07;200.0;6.18;600.0;19.64;1700.0;4.43;2015;01 - Guadeloupe
;Traitements anxiolytiques (hors pathologies);TPS_ANX_EXC;2500.0;14.88;5900.0;28.37;;0.45;400.0;5.58;2500.0;23.64;1900.0;36.87;1600.0;45.79;1900.0;65.53;8400.0;22.38;2015;01 - Guadeloupe
